County,Date,Connections
Offaly,Unnamed: 28,16
Roscommon,Unnamed: 28,20
Sligo,Unnamed: 28,14
South Dublin,Unnamed: 28,23
Tipperary,Unnamed: 28,12
Waterford City and County,Unnamed: 28,29
Westmeath,Unnamed: 28,8
Wexford,Unnamed: 28,46
Wicklow,Unnamed: 28,30
Cork,Unnamed: 28,84
Dublin,Unnamed: 28,82
Galway,Unnamed: 28,10
TOTALS,Unnamed: 28,"1,192"
Carlow ,Unnamed: 29,5
Cavan,Unnamed: 29,14
Clare,Unnamed: 29,17
Cork,Unnamed: 29,110
Donegal,Unnamed: 29,55
D/L Rathdown,Unnamed: 29,69
Fingal,Unnamed: 29,166
Galway,Unnamed: 29,45
Kerry,Unnamed: 29,25
Kildare,Unnamed: 29,47
Kilkenny,Unnamed: 29,11
Laois,Unnamed: 29,20
Leitrim,Unnamed: 29,8
Limerick City and County,Unnamed: 29,34
Longford,Unnamed: 29,15
Louth,Unnamed: 29,27
Mayo,Unnamed: 29,22
Meath,Unnamed: 29,40
Monaghan,Unnamed: 29,17
Offaly,Unnamed: 29,10
Roscommon,Unnamed: 29,13
Sligo,Unnamed: 29,6
South Dublin,Unnamed: 29,11
Tipperary,Unnamed: 29,33
Waterford City and County,Unnamed: 29,33
Westmeath,Unnamed: 29,28
Wexford,Unnamed: 29,50
Wicklow,Unnamed: 29,22
Cork,Unnamed: 29,27
Dublin,Unnamed: 29,50
Galway,Unnamed: 29,2
TOTALS,Unnamed: 29,"1,032"
Carlow ,Unnamed: 30,9
Cavan,Unnamed: 30,23
Clare,Unnamed: 30,25
Cork,Unnamed: 30,109
Donegal,Unnamed: 30,46
D/L Rathdown,Unnamed: 30,84
Fingal,Unnamed: 30,86
Galway,Unnamed: 30,56
Kerry,Unnamed: 30,41
Kildare,Unnamed: 30,72
Kilkenny,Unnamed: 30,28
Laois,Unnamed: 30,16
Leitrim,Unnamed: 30,16
Limerick City and County,Unnamed: 30,34
Longford,Unnamed: 30,15
Louth,Unnamed: 30,37
Mayo,Unnamed: 30,30
Meath,Unnamed: 30,61
Monaghan,Unnamed: 30,7
Offaly,Unnamed: 30,15
Roscommon,Unnamed: 30,8
Sligo,Unnamed: 30,24
South Dublin,Unnamed: 30,24
Tipperary,Unnamed: 30,29
Waterford City and County,Unnamed: 30,18
Westmeath,Unnamed: 30,18
Wexford,Unnamed: 30,42
Wicklow,Unnamed: 30,42
Cork,Unnamed: 30,18
Dublin,Unnamed: 30,102
Galway,Unnamed: 30,14
TOTALS,Unnamed: 30,"1,149"
Carlow ,Unnamed: 31,11
Cavan,Unnamed: 31,39
Clare,Unnamed: 31,23
Cork,Unnamed: 31,118
Donegal,Unnamed: 31,50
D/L Rathdown,Unnamed: 31,86
Fingal,Unnamed: 31,232
Galway,Unnamed: 31,66
Kerry,Unnamed: 31,42
Kildare,Unnamed: 31,61
Kilkenny,Unnamed: 31,10
Laois,Unnamed: 31,14
Leitrim,Unnamed: 31,13
Limerick City and County,Unnamed: 31,52
Longford,Unnamed: 31,20
Louth,Unnamed: 31,22
Mayo,Unnamed: 31,34
Meath,Unnamed: 31,53
Monaghan,Unnamed: 31,18
Offaly,Unnamed: 31,11
Roscommon,Unnamed: 31,11
Sligo,Unnamed: 31,24
South Dublin,Unnamed: 31,19
Tipperary,Unnamed: 31,28
Waterford City and County,Unnamed: 31,19
Westmeath,Unnamed: 31,28
Wexford,Unnamed: 31,41
Wicklow,Unnamed: 31,37
Cork,Unnamed: 31,17
Dublin,Unnamed: 31,94
Galway,Unnamed: 31,1
TOTALS,Unnamed: 31,"1,294"
Carlow ,Unnamed: 32,16
Cavan,Unnamed: 32,16
Clare,Unnamed: 32,27
Cork,Unnamed: 32,114
Donegal,Unnamed: 32,40
D/L Rathdown,Unnamed: 32,41
Fingal,Unnamed: 32,104
Galway,Unnamed: 32,50
Kerry,Unnamed: 32,27
Kildare,Unnamed: 32,57
Kilkenny,Unnamed: 32,11
Laois,Unnamed: 32,16
Leitrim,Unnamed: 32,9
Limerick City and County,Unnamed: 32,40
Longford,Unnamed: 32,14
Louth,Unnamed: 32,29
Mayo,Unnamed: 32,28
Meath,Unnamed: 32,71
Monaghan,Unnamed: 32,4
Offaly,Unnamed: 32,8
Roscommon,Unnamed: 32,26
Sligo,Unnamed: 32,13
South Dublin,Unnamed: 32,30
Tipperary,Unnamed: 32,30
Waterford City and County,Unnamed: 32,25
Westmeath,Unnamed: 32,15
Wexford,Unnamed: 32,63
Wicklow,Unnamed: 32,29
Cork,Unnamed: 32,10
Dublin,Unnamed: 32,85
Galway,Unnamed: 32,7
TOTALS,Unnamed: 32,"1,055"
Carlow ,Unnamed: 33,9
Cavan,Unnamed: 33,21
Clare,Unnamed: 33,33
Cork,Unnamed: 33,119
Donegal,Unnamed: 33,38
D/L Rathdown,Unnamed: 33,45
Fingal,Unnamed: 33,82
Galway,Unnamed: 33,68
Kerry,Unnamed: 33,37
Kildare,Unnamed: 33,50
Kilkenny,Unnamed: 33,16
Laois,Unnamed: 33,18
Leitrim,Unnamed: 33,12
Limerick City and County,Unnamed: 33,32
Longford,Unnamed: 33,16
Louth,Unnamed: 33,38
Mayo,Unnamed: 33,32
Meath,Unnamed: 33,60
Monaghan,Unnamed: 33,10
Offaly,Unnamed: 33,11
Roscommon,Unnamed: 33,20
Sligo,Unnamed: 33,33
South Dublin,Unnamed: 33,39
Tipperary,Unnamed: 33,25
Waterford City and County,Unnamed: 33,28
Westmeath,Unnamed: 33,16
Wexford,Unnamed: 33,45
Wicklow,Unnamed: 33,45
Cork,Unnamed: 33,3
Dublin,Unnamed: 33,95
Galway,Unnamed: 33,14
TOTALS,Unnamed: 33,"1,110"
Carlow ,Unnamed: 34,15
Cavan,Unnamed: 34,47
Clare,Unnamed: 34,32
Cork,Unnamed: 34,157
Donegal,Unnamed: 34,56
D/L Rathdown,Unnamed: 34,89
Fingal,Unnamed: 34,109
Galway,Unnamed: 34,56
Kerry,Unnamed: 34,40
Kildare,Unnamed: 34,85
Kilkenny,Unnamed: 34,39
Laois,Unnamed: 34,10
Leitrim,Unnamed: 34,18
Limerick City and County,Unnamed: 34,19
Longford,Unnamed: 34,9
Louth,Unnamed: 34,34
Mayo,Unnamed: 34,33
Meath,Unnamed: 34,95
Monaghan,Unnamed: 34,9
Offaly,Unnamed: 34,11
Roscommon,Unnamed: 34,28
Sligo,Unnamed: 34,14
South Dublin,Unnamed: 34,32
Tipperary,Unnamed: 34,35
Waterford City and County,Unnamed: 34,26
Westmeath,Unnamed: 34,17
Wexford,Unnamed: 34,29
Wicklow,Unnamed: 34,31
Cork,Unnamed: 34,85
Dublin,Unnamed: 34,136
Galway,Unnamed: 34,19
TOTALS,Unnamed: 34,"1,415"
Carlow ,Unnamed: 35,84
Cavan,Unnamed: 35,189
Clare,Unnamed: 35,202
Cork,Unnamed: 35,900
Donegal,Unnamed: 35,364
D/L Rathdown,Unnamed: 35,673
Fingal,Unnamed: 35,"1,018"
Galway,Unnamed: 35,431
Kerry,Unnamed: 35,258
Kildare,Unnamed: 35,493
Kilkenny,Unnamed: 35,136
Laois,Unnamed: 35,127
Leitrim,Unnamed: 35,96
Limerick City and County,Unnamed: 35,261
Longford,Unnamed: 35,118
Louth,Unnamed: 35,224
Mayo,Unnamed: 35,236
Meath,Unnamed: 35,453
Monaghan,Unnamed: 35,85
Offaly,Unnamed: 35,93
Roscommon,Unnamed: 35,136
Sligo,Unnamed: 35,141
South Dublin,Unnamed: 35,198
Tipperary,Unnamed: 35,221
Waterford City and County,Unnamed: 35,194
Westmeath,Unnamed: 35,144
Wexford,Unnamed: 35,363
Wicklow,Unnamed: 35,257
Cork,Unnamed: 35,269
Dublin,Unnamed: 35,731
Galway,Unnamed: 35,72
TOTALS,Unnamed: 35,"9,167"
